[distance	 angle	 speed	 height	 possibility] 
 	 354  	 50  	 1  	 3  	 1 
 	 355  	 0  	 0  	 0  	 0 
 	 356  	 50  	 1  	 11  	 1 
 	 357  	 50  	 1  	 10  	 1 
 	 358  	 50  	 1  	 9  	 1 
 	 359  	 50  	 1  	 8  	 1 
 	 360  	 50  	 1  	 6  	 1 
 	 361  	 50  	 1  	 5  	 1 
 	 362  	 50  	 1  	 4  	 1 
 	 363  	 50  	 1  	 3  	 1 
 	 364  	 0  	 0  	 0  	 0 
 	 365  	 50  	 1  	 11  	 1 
 	 366  	 50  	 1  	 10  	 1 
 	 367  	 50  	 1  	 9  	 1 
 	 368  	 50  	 1  	 8  	 1 
 	 369  	 50  	 1  	 7  	 1 
 	 370  	 50  	 1  	 6  	 1 
 	 371  	 50  	 1  	 4  	 1 
 	 372  	 50  	 1  	 3  	 1 
 	 373  	 50  	 1  	 2  	 1 
 	 374  	 50  	 1  	 12  	 1 
 	 375  	 50  	 1  	 11  	 1 
 	 376  	 50  	 1  	 10  	 1 
 	 377  	 50  	 1  	 8  	 1 
 	 378  	 50  	 1  	 7  	 1 
 	 379  	 50  	 1  	 6  	 1 
 	 380  	 50  	 1  	 5  	 1 
 	 381  	 50  	 1  	 4  	 1 
 	 382  	 50  	 1  	 3  	 1 
 	 383  	 0  	 0  	 0  	 0 
 	 384  	 50  	 1  	 11  	 1 
 	 385  	 50  	 1  	 10  	 1 
 	 386  	 50  	 1  	 9  	 1 
 	 387  	 50  	 1  	 8  	 1 
 	 388  	 50  	 1  	 7  	 1 
 	 389  	 50  	 1  	 6  	 1 
 	 390  	 50  	 1  	 4  	 1 
 	 391  	 50  	 1  	 3  	 1 
 	 392  	 50  	 1  	 2  	 1 
 	 393  	 0  	 0  	 0  	 0 
 	 394  	 50  	 1  	 11  	 1 
 	 395  	 50  	 1  	 10  	 1 
 	 396  	 50  	 1  	 9  	 1 
 	 397  	 50  	 1  	 7  	 1 
 	 398  	 50  	 1  	 6  	 1 
 	 399  	 50  	 1  	 5  	 1 
 	 400  	 50  	 1  	 4  	 1 
 	 401  	 50  	 1  	 3  	 1 
 	 402  	 0  	 0  	 0  	 0 
 	 403  	 50  	 1  	 12  	 1 
 	 404  	 50  	 1  	 11  	 1 
 	 405  	 50  	 1  	 10  	 1 
 	 406  	 50  	 1  	 8  	 1 
 	 407  	 50  	 1  	 7  	 1 
 	 408  	 50  	 1  	 6  	 1 
 	 409  	 50  	 1  	 5  	 1 
 	 410  	 50  	 1  	 4  	 1 
 	 411  	 50  	 1  	 3  	 1 
 	 412  	 0  	 0  	 0  	 0 
 	 413  	 50  	 1  	 12  	 1 
 	 414  	 50  	 1  	 11  	 1 
 	 415  	 50  	 1  	 9  	 1 
 	 416  	 50  	 1  	 8  	 1 
 	 417  	 50  	 1  	 7  	 1 
 	 418  	 50  	 1  	 6  	 1 
 	 419  	 50  	 1  	 5  	 1 
 	 420  	 50  	 1  	 4  	 1 
 	 421  	 50  	 1  	 2  	 1 
 	 422  	 0  	 0  	 0  	 0 
 	 423  	 50  	 1  	 12  	 1 
 	 424  	 50  	 1  	 11  	 1 
 	 425  	 50  	 1  	 9  	 1 
 	 426  	 50  	 1  	 8  	 1 
 	 427  	 50  	 1  	 7  	 1 
 	 428  	 50  	 1  	 6  	 1 
 	 429  	 50  	 1  	 5  	 1 
 	 430  	 50  	 1  	 4  	 1 
 	 431  	 50  	 1  	 2  	 1 
 	 432  	 0  	 0  	 0  	 0 
 	 433  	 50  	 1  	 12  	 1 
 	 434  	 50  	 1  	 11  	 1 
 	 435  	 50  	 1  	 10  	 1 
 	 436  	 50  	 1  	 8  	 1 
 	 437  	 50  	 1  	 7  	 1 
 	 438  	 50  	 1  	 6  	 1 
 	 439  	 50  	 1  	 5  	 1 
 	 440  	 50  	 1  	 4  	 1 
 	 441  	 50  	 1  	 3  	 1 
 	 442  	 0  	 0  	 0  	 0 
 	 443  	 0  	 0  	 0  	 0 
 	 444  	 50  	 1  	 11  	 1 
 	 445  	 50  	 1  	 10  	 1 
 	 446  	 50  	 1  	 9  	 1 
 	 447  	 50  	 1  	 8  	 1 
 	 448  	 50  	 1  	 6  	 1 
 	 449  	 50  	 1  	 5  	 1 
 	 450  	 50  	 1  	 4  	 1 
 	 451  	 50  	 1  	 3  	 1 
 	 452  	 0  	 0  	 0  	 0 
 	 453  	 0  	 0  	 0  	 0 
 	 454  	 50  	 1  	 11  	 1 
 	 455  	 50  	 1  	 10  	 1 
 	 456  	 50  	 1  	 9  	 1 
 	 457  	 50  	 1  	 8  	 1 
 	 458  	 50  	 1  	 7  	 1 
 	 459  	 50  	 1  	 6  	 1 
 	 460  	 50  	 1  	 5  	 1 
 	 461  	 50  	 1  	 3  	 1 
 	 462  	 50  	 1  	 2  	 1 
 	 463  	 0  	 0  	 0  	 0 
 	 464  	 50  	 1  	 12  	 1 
 	 465  	 50  	 1  	 11  	 1 
 	 466  	 50  	 1  	 10  	 1 
 	 467  	 50  	 1  	 9  	 1 
 	 468  	 50  	 1  	 7  	 1 
 	 469  	 50  	 1  	 6  	 1 
 	 470  	 50  	 1  	 5  	 1 
 	 471  	 50  	 1  	 4  	 1 
 	 472  	 50  	 1  	 3  	 1 
 	 473  	 0  	 0  	 0  	 0 
 	 474  	 0  	 0  	 0  	 0 
 	 475  	 50  	 1  	 12  	 1 
 	 476  	 50  	 1  	 10  	 1 
 	 477  	 50  	 1  	 9  	 1 
 	 478  	 50  	 1  	 8  	 1 
 	 479  	 50  	 1  	 7  	 1 
 	 480  	 50  	 1  	 6  	 1 
